HSC,BKSU,BKSU,gunzip,1,Y,1,Y,0,N,BKS_HMS_MISSION_SPV_%%%%%%%%%%%%%%.dat.gz,N,DAILY,REF_REG,Y,GZIP,Y,Y,1,|,1,200,210,5,30,SPV,Y,
HSC,HBSU,TMU,gunzip,3,N,1,Y,0,Y,TRIP_MISSION_SPV_%%%%%%%%%%%%%%.dat.gz,N,DAILY,REF,Y,GZIP,Y,N,,,1,200,210,14,100,SPV,Y,
HSC,HBSU,TMVU,gunzip,3,N,1,Y,0,Y,TRIP_MISSION_VALUE_SPV_%%%%%%%%%%%%%%.dat.gz,N,DAILY,REF,Y,GZIP,N,N,,,1,200,210,20,100,SPV,Y,
HSC,HBSU,TSVU,gunzip,3,N,1,Y,0,Y,TRIP_SIZE_VALUE_SPV_%%%%%%%%%%%%%%.dat.gz,N,DAILY,REF,Y,GZIP,N,N,,,1,200,210,17,100,SPV,Y,
HSC,BKSM,BKSM,gunzip,1,Y,1,Y,0,N,BKS_HMS_MISSION_MAS_%%%%%%%%%%%%%%.dat.gz,N,DAILY,REF_REG,Y,GZIP,Y,Y,1,|,1,200,210,5,30,MAS,Y,
HSC,HBSMA,TMMA,gunzip,3,N,1,Y,0,Y,TRIP_MISSION_MAS_%%%%%%%%%%%%%%.dat.gz,N,DAILY,REF,Y,GZIP,Y,N,,,1,200,210,14,100,MAS,Y,
HSC,HBSMA,TMVMA,gunzip,3,N,1,Y,0,Y,TRIP_MISSION_VALUE_MAS_%%%%%%%%%%%%%%.dat.gz,N,DAILY,REF,Y,GZIP,N,N,,,1,200,210,20,100,MAS,Y,
HSC,HBSMA,TSVMA,gunzip,3,N,1,Y,0,Y,TRIP_SIZE_VALUE_MAS_%%%%%%%%%%%%%%.dat.gz,N,DAILY,REF,Y,GZIP,N,N,,,1,200,210,17,100,MAS,Y,
LCD,HHA,HHA,gunzip,1,Y,1,Y,30,N,HHA_%%%_%%%%%%%%%%%%%%.dat.gz,N,DAILY,SGMT_REG,Y,GZIP,N,Y,1,|,1,200,210,1,256,,N,
LCD,HHA_RSTMT,HAR,gunzip,1,Y,1,Y,30,N,HHA_%%%_%%%%%%%%%%%%%%_R.dat.gz,N,DAILY,RESTATE,Y,GZIP,N,Y,1,|,1,200,210,1,256,,N,
LCD,HHS,HHS,gunzip,1,Y,1,Y,30,N,HHS_%%%_PDFN_FACTS_%%%%%%%%%%%%%%.dat.gz,N,DAILY,SGMT_REG,Y,GZIP,Y,N,0,|,1,200,210,5,30,,N,
