Exception Name,Subscriber,?,?,Datafile,Process Location,?
CHECK_FILE_CONTS,HSC,PRDRLSCA,PRDRLSCA,period_release.csv,Add to File contents,N
CHECK_FILE_CONTS,HSC,PRDRLS,PRDRLS,pnlPRDRLSCAstd_%.txt,Add to File contents,N
CHECK_FILE_CONTS,HSC,PNLMTCHXML,PNLMTCHCA,%_PNLMTCH_%.xml,Add to File contents,N
CHECK_FILE_CONTS,HSC,PNLMTCHDAT,PNLMTCHCA,%_PNLMTCH_%.dat,Add to File contents,N
CHECK_FILE_CONTS,HSC,TMVK,HBS,TRIP_MISSION_VALUE_KFT_%%%%%%%%%%%%%%.dat,Add to File contents,N
CHECK_FILE_CONTS,HSC,TSVK,HBS,TRIP_SIZE_VALUE_KFT_%%%%%%%%%%%%%%.dat,Add to File contents,N
CHECK_FILE_CONTS,HSC,TMK,HBS,TRIP_MISSION_KFT_%%%%%%%%%%%%%%.dat,Add to File contents,N
CHECK_FILE_CONTS,HSC,TMVM,HBSM,TRIP_MISSION_VALUE_SNG_%%%%%%%%%%%%%%.dat,Add to File contents,N
CHECK_FILE_CONTS,HSC,TSVM,HBSM,TRIP_SIZE_VALUE_SNG_%%%%%%%%%%%%%%.dat,Add to File contents,N
CHECK_FILE_CONTS,HSC,TMM,HBSM,TRIP_MISSION_SNG_%%%%%%%%%%%%%%.dat,Add to File contents,N
CHECK_FILE_CONTS,HSC,TMVS,HBSS,TRIP_MISSION_VALUE_SFW_%%%%%%%%%%%%%%.dat,Add to File contents,N
CHECK_FILE_CONTS,HSC,TSVS,HBSS,TRIP_SIZE_VALUE_SFW_%%%%%%%%%%%%%%.dat,Add to File contents,N
CHECK_FILE_CONTS,HSC,TMS,HBSS,TRIP_MISSION_SFW_%%%%%%%%%%%%%%.dat,Add to File contents,N
CHECK_FILE_CONTS,HSC,TMVT,HBST,TRIP_MISSION_VALUE_TGT_%%%%%%%%%%%%%%.dat,Add to File contents,N
CHECK_FILE_CONTS,HSC,TSVT,HBST,TRIP_SIZE_VALUE_TGT_%%%%%%%%%%%%%%.dat,Add to File contents,N
CHECK_FILE_CONTS,HSC,TMT,HBST,TRIP_MISSION_TGT_%%%%%%%%%%%%%%.dat,Add to File contents,N
CHECK_FILE_CONTS,HSC,TMVU,HBSU,TRIP_MISSION_VALUE_SPV_%%%%%%%%%%%%%%.dat,Add to File contents,N
CHECK_FILE_CONTS,HSC,TSVU,HBSU,TRIP_SIZE_VALUE_SPV_%%%%%%%%%%%%%%.dat,Add to File contents,N
CHECK_FILE_CONTS,HSC,TMU,HBSU,TRIP_MISSION_SPV_%%%%%%%%%%%%%%.dat,Add to File contents,N
CHECK_FILE_CONTS,HSC,TMVMA,HBSMA,TRIP_MISSION_VALUE_MAS_%%%%%%%%%%%%%%.dat,Add to File contents,N
CHECK_FILE_CONTS,HSC,TSVMA,HBSMA,TRIP_SIZE_VALUE_MAS_%%%%%%%%%%%%%%.dat,Add to File contents,N
CHECK_FILE_CONTS,HSC,TMMA,HBSMA,TRIP_MISSION_MAS_%%%%%%%%%%%%%%.dat,Add to File contents,N
CHECK_FILE_CONTS,HSC,PRCHRSTCA,PRCHRSTCA,restate_purch_%%%%_%%%%.txt,Add to File contents,N
CHECK_FILE_CONTS,HSC,TRIPRSTCA,TRIPRSTCA,trip%refresh.dat,Add to File contents,N
CHECK_FILE_CONTS,LCD,NON,NON,NON_ARCH_%.txt,Add to File contents,N
CHECK_FILE_CONTS,LCD,TPD,TPD,TPD_%%%_%%%%%%%%%%%%%%.dat,Add to File contents,N
CHECK_FILE_CONTS,LCD,PCR,PCR,PCR_NONSTD_LCD_%%%%%%%%.dat,Add to File contents,N
CHECK_FILE_CONTS,LCD,PRM,PRM,PRM_%%%_%%%%%%%%%%%%%%.dat,Add to File contents,N
CHECK_FILE_CONTS,LCD,PST,PRM,PST_%%%_%%%%%%%%%%%%%%.dat,Add to File contents,N
CHECK_FILE_CONTS,LCD,PRC,PRM,PRC_%%%_%%%%%%%%%%%%%%.dat,Add to File contents,N
CHECK_FILE_CONTS,LCD,SCH,SCH,SCH_%%%_%%%%%%%%%%%%%%.dat,Add to File contents,N
CHECK_FILE_CONTS,LCD,OOS,OOS,OOS_%%%_%%%%%%%%%%%%%%.dat,Add to File contents,N
CHECK_FILE_CONTS,LCD,PRMODTL,PRMODTL,PMOD_%%%_%%%%%%%%%%%%%%.dat.gz,Add to File contents,Y
CHECK_FILE_CONTS,LCD,PRMTN,PRMTN,PMO_%%%_%%%%%%%%%%%%%%.dat.gz,Add to File contents,Y
CHECK_FILE_CONTS,LCD,PRMDTL,PRMTN,PMD_%%%_%%%%%%%%%%%%%%.dat.gz,Add to File contents,Y
CHECK_FILE_CONTS,LCD,PRMO,PRMO,PRMO_%%%_%%%%%%%%%%%%%%.dat.gz,Add to File contents,Y
CHECK_FILE_CONTS,LCD,PRDCCGRP,PRDCCGRP,,Add to File contents,Y
CHECK_FILE_CONTS,LCD,PODCGRP,PODCGRP,,Add to File contents,Y
CHECK_INT_VAL,CRF,PROUPCS,PROCHR,carr_pro_ean_sirval.CSV,Internal Validation,N
CHECK_INT_VAL,CRF,PROCHARS,PROCHR,carr_pro_chars_sirval.CSV,Internal Validation,N
CHECK_INT_VAL,NLS,PRODHSTRY,PRODHSTRY,PROD_PRO_HISTORY_EXTRACT.TXT,Internal Validation,N
CHECK_INT_VAL,NLS,PROUPCS,PROCHR,pro_upcs.txt,Internal Validation,N
CHECK_INT_VAL,NLS,PROCHARS,PROCHR,pro_chars.txt,Internal Validation,N
CHECK_INT_VAL,NLS,MRKT,MRKT,%_mrkt_2%.txt,Internal Validation,N
CHECK_INT_VAL,NLS,MRKT_CHRS,MRKT,%_mrkt_chrs_%.txt,Internal Validation,N
CHECK_INT_VAL,NLS,MRKT_POD,MRKT,%_mrkt_pod_rltd_%.txt,Internal Validation,N
CHECK_INT_VAL,NLS,POD,MRKT,%_pod_2%.txt,Internal Validation,N
CHECK_INT_VAL,NLS,POD_CHRS,MRKT,%_pod_chrs_%.txt,Internal Validation,N
CHECK_INT_VAL,SFW,NON,NON,NON_ARCH_%.txt,Internal Validation,N
CHECK_INT_VAL,SFW,TPD,TPD,TPD_%%%_%%%%%%%%%%%%%%.dat,Internal Validation,N
CHECK_INT_VAL,SFW,PCR,PCR,PCR_NONSTD_SFW_%%%%%%%%.dat,Internal Validation,N
